field_key,stem_degree,stem_discriminant,closure_degree,closure_discriminant,ramification_support,galois_group,manifolds
x^4 - x + 1,4,229,24,20798201815902925734870098641,229,S4,"o10_145584,o10_145585,o10_145586,o10_145587,o10_145588,o10_145589,o10_145590,o10_145591"
x^4 - 3*x^2 + 4,4,784,4,784,"2,7",C2 x C2,"o10_140217,o10_140218,o10_140219,o10_140220,o10_140221,o10_140222,o10_140223,o10_140224,o10_140225,o10_140226,o10_140227,o10_140228,o10_140229,o10_140230,o10_140231,o10_140232,o10_140233,o10_140234,o10_140235,o10_140236,o10_140237,o10_140238,o10_140239,o10_140240,o10_140241,o10_140242,o10_140243,o10_140244"
x^6 + x^4 + 2*x^2 + 1,6,-33856,12,606355001344,"2,23",D6,"t08606,t08607"
x^4 + 2*x^2 - 3*x + 2,4,3221,24,1247063872385372731496678575404593456513041,3221,S4,"t09001,t09002"
x^8 - 3*x^6 + 6*x^4 - 7*x^2 + 4,8,124367104,48,48643684860550366945956333333752727298588688415243167148734220906671736040965799936,"2,17,41",C2 x S4,o9_21999
x^4 - x^3 - 2*x^2 + 3*x + 1,4,-2068,24,6117956899106998325102405080259416293376,"2,11,47",S4,o9_23819
x^6 - 2*x^5 + 2*x^4 - 2*x^3 + 4*x^2 - 4*x + 2,6,-30976,12,116101021696,"2,11",D6,o10_056781
x^4 - 2*x^3 + 3*x^2 - 1,4,-976,24,182405472588468433947695572320256,"2,61",S4,o10_058843
x^4 - x^3 + 2*x + 1,4,189,8,1750329,"3,7",D4,o10_061060
x^4 - x^3 + 2*x - 1,4,-275,8,9150625,"5,11",D4,"o10_147648,o10_147649,o10_147650,o10_147651,o10_147652,o10_147653,o10_147654,o10_147655"
x^4 - x^3 + 3*x^2 - 3*x + 2,4,1076,24,9408216238040099439670008097079296,"2,269",S4,"o10_149940,o10_149941,o10_149942,o10_149943,o10_149944,o10_149945,o10_149946,o10_149947,o10_149948,o10_149949"
x^6 - x^5 + 2*x^4 - 2*x^3 + 2*x^2 - 2*x + 1,6,-10051,48,2352634640231689951863242876669644980867984267519669888461897761,"19,23",C2 x S4,t11497
x^4 - x^3 + x^2 - 2,4,-2116,24,102888129587729901429326872576,"2,23",S4,"o9_28731,o9_28732,o9_28733,o9_28734,o9_28735,o9_28736"
x^5 - x^4 + 3*x^2 - x + 2,5,32041,10,-183765996899,179,D5,"o9_29376,o9_29377"
x^4 - x^3 + 3*x + 2,4,2057,24,26771334413217573135928360283521,"11,17",S4,t11971
x^4 - x^3 + x^2 - 2*x - 1,4,-1423,24,68938019258429685762721882250860633921,1423,S4,o9_33635
x^6 - x^5 + x^4 - x^3 + x^2 - x + 1,6,-16807,6,-16807,7,C6,t12408
x^6 - 13*x^2 + 20,6,-5060180,48,1154387292184950550332130070304692773246424385592388811815956898325200896000000000000000000000000,"2,5,503",C2 x S4,o9_34677
x^6 - x^5 - x^4 - x^2 - x + 1,6,399424,24,4060737717636219342428430533656576,"2,79",S4,o10_087705
x^4 - x^3 + 2*x^2 - 4*x + 4,4,2292,24,82098532499586556907611404204344672256,"2,3,191",S4,o9_14719
x^4 - x^3 - x^2 + 3*x - 1,4,-491,24,196326039436028365961428688382481,491,S4,o10_077117
x^6 - 2*x^5 + x^4 - 5*x^3 + 8*x^2 - 5*x + 10,6,-5060180,48,1154387292184950550332130070304692773246424385592388811815956898325200896000000000000000000000000,"2,5,503",C2 x S4,o10_048254
x^8 - x^6 + 3*x^4 - 2*x^2 + 1,8,16908544,48,1940147514897409920544589702826036490038404310566144741551422413058605056,"2,257",C2 x S4,o10_056388
x^3 - 2,3,-108,6,-34992,"2,3",S3,o9_25253
x^6 - 5*x^4 + 5*x^2 + 4,6,-732736,12,6146991521173504,"2,107",D6,o10_059856
x^4 - x^3 + 2*x^2 - 1,4,-731,24,23281369493976380470743875853470161,"17,43",S4,"o10_145861,o10_145862,o10_145863"
x^4 - 2*x^3 + 3*x^2 + x - 1,4,-2183,24,11712371213185344072040196687538824278561,"37,59",S4,o9_28458
x^3 - x^2 - 3,3,-255,6,-16581375,"3,5,17",S3,"o9_33141,o9_33142"
x^4 - x^3 - x^2 - 2,4,-3284,24,1573395056707358663038611419846328300077056,"2,821",S4,"o9_33827,o9_33828,o9_33829,o9_33830"
x^4 - x^3 - 2*x^2 - 3*x + 9,4,1089,4,1089,"3,11",C2 x C2,"o9_36481,o9_36482,o9_36483"
x^4 - x^3 - x + 2,4,1129,24,4288716148256918436815323334654271841,1129,S4,"o9_36651,o9_36652"
x^6 - x^5 - x^4 + 3*x^3 + 4*x^2 - 2*x - 2,6,372368,48,63179378867929298181309658996850004528272817542165413432811990163659922866176,"2,17,37",C2 x S4,"o9_36681,o9_36682,o9_36683,o9_36684"
x^4 - x^3 - x^2 - 2*x + 4,4,441,4,441,"3,7",C2 x C2,"o9_37013,o9_37014,o9_37015"
x^4 - x^3 - x^2 - x + 1,4,-507,8,2313441,"3,13",D4,o9_37601
x^6 - x^4 - 6*x^2 - 1,6,579121,24,37723838875673284825516711307250721,761,S4,o9_37643
x^3 + 3*x - 1,3,-135,6,-273375,"3,5",S3,o9_37958
x^4 - 2*x^2 - 2*x + 1,4,-1456,24,86563854512693260438642974785536,"2,7,13",S4,"o10_095923,o10_095924"
x^6 - 3*x^5 + 5*x^3 + 2*x^2 - 5*x + 1,6,390224,12,2436396322816,"2,29",D6,o9_38196
x^4 - x^3 - 2*x^2 + 7*x - 9,4,-5591,24,932983379427117104200061086868471699757571681,5591,S4,o10_103970
x^4 - x^3 + x^2 - 3*x + 1,4,-1099,24,3104361645561089292654364516759846801,"7,157",S4,"o9_40260,o9_40261,o9_40262,o9_40263"
x^4 - x^3 + x^2 - 2*x + 2,4,1016,24,1209830406509081665027557060725702656,"2,127",S4,o10_104719
x^4 - 3*x^2 - 2,4,-2312,8,342102016,"2,17",D4,o9_40444
x^4 - 5*x^2 - 4,4,-6724,8,723394816,"2,41",D4,"o10_106720,o10_106721,o10_106722,o10_106723,o10_106724,o10_106725,o10_106726,o10_106727,o10_106728,o10_106729"
x^6 - 2*x^5 + 2*x^4 - 4*x^3 + 3*x^2 + 2*x + 1,6,-83607,48,21935256382552289668923438124800827770276806066993199258816113729152481897157906881,"3,29,31",C2 x S4,o10_106770
x^4 - x^3 - 3*x^2 + 2*x + 4,4,513,8,95004009,"3,19",D4,"o9_41512,o9_41513"
x^6 - 2*x^5 + 2*x^4 - 3*x^3 + 2*x^2 - 2*x + 1,6,31213,24,774263645280065083180300081,"7,13",C2 x A4,o10_113687
x^2 - x + 3,2,-11,2,-11,11,C2,"o10_114969,o10_114970,o10_114971,o10_114972"
x^4 - x^3 - x^2 + 2*x + 2,4,1384,24,49389323944093175251931467682053881856,"2,173",S4,o9_42351
x^4 - x^3 - 2*x^2 - x + 5,4,4684,24,111532808121511572993559198388897073653088256,"2,1171",S4,o9_42621
x^4 - x^2 - 16,4,-16900,8,4569760000,"2,5,13",D4,"o9_42688,o9_42689"
x^5 - x^4 + x^3 - 2*x^2 + 3*x - 1,5,6241,10,-3077056399,79,D5,o9_43241
x^4 - x^3 + x^2 - 3*x - 2,4,-2092,24,27447335887106905360260603843858989056,"2,523",S4,o9_43439
x^3 - x^2 + 2*x + 1,3,-87,6,-658503,"3,29",S3,"o10_123085,o10_123086,o10_123087,o10_123088,o10_123089,o10_123090,o10_123091,o10_123092,o10_123093,o10_123094,o10_123095,o10_123096"
x^4 - x^3 + 2*x^2 - 3*x + 2,4,985,24,834131968340877086275570957275390625,"5,197",S4,o10_089093
x^4 - x^2 - 1,4,-400,8,2560000,"2,5",D4,"o10_127303,o10_127304,o10_127305,o10_127306,o10_127307,o10_127308,o10_127309,o10_127310,o10_127311,o10_127312,o10_127313,o10_127314,o10_127315,o10_127316,o10_127317,o10_127318,o10_127319,o10_127320,o10_127321"
x^8 - 4*x^7 + 11*x^6 - 18*x^5 + 23*x^4 - 18*x^3 + 14*x^2 - 4*x + 4,8,10969344,16,33672290266555416576,"2,3,23",C2 x D4,"o9_44092,o9_44093"
x^6 - 2*x^5 - x^4 + 4*x^3 + 3*x^2 - 6*x + 2,6,-238144,12,211027453382656,"2,61",D6,"o9_44156,o9_44157"
x^8 - 8*x^6 + 20*x^4 - 15*x^2 + 4,8,2178275584,48,40542832841624819324153303566953282407629235855543942414123206750027002283218605504084722032050176,"2,2917",C2 x S4,o10_062724
x^8 - 7*x^6 + 14*x^4 - 7*x^2 + 4,8,952586496,48,1983413456222100051648886812007254395446781511733295130789380713077673609770234182033668571136,"2,3,643",C2 x S4,o10_065568
x^6 - x^5 - 2*x^4 + 3*x^3 - 3*x + 1,6,56144,48,5295857060403389172272440163845536780734340670974400022968297288892416,"2,11,29",C2 x S4,"o10_068657,o10_068658,o10_068659"
x^6 - x^4 - 2*x^3 + 2*x + 1,6,-10816,18,-6107453226347659264,"2,13",C3 x S3,o10_144540
x^6 - x^4 - x^3 - x^2 + 1,6,52441,24,20798201815902925734870098641,229,S4,"o10_120074,o10_120075,o10_120076,o10_120077,o10_120078"
x^4 - x^3 + 5*x^2 - 2*x + 4,4,657,8,2300257521,"3,73",D4,"o10_120509,o10_120510,o10_120511,o10_120512,o10_120513"
x^3 - x^2 + x - 9,3,-516,6,-137388096,"2,3,43",S3,"o10_127036,o10_127037,o10_127038,o10_127039"
x^6 - 2*x^5 + 4*x^3 - 3*x^2 - 4*x + 5,6,-88343,48,106331850491859555774768257349547847814777464890102678445637113466199471095556217333761,"23,167",C2 x S4,"o10_129371,o10_129372,o10_129373"
x^6 - x^5 + 3*x^4 - 2*x^3 + 2*x^2 + 3*x - 3,6,1601613,36,3475226802198116057554377769989579566636047832552241,"3,13",S3 x S3,o10_131217
x^4 - 2*x^3 + 2*x^2 - x + 2,4,1421,8,1698181681,"7,29",D4,"o10_131261,o10_131262"
x^4 + x^2 - 4*x + 4,4,1040,8,4569760000,"2,5,13",D4,"o10_132687,o10_132688,o10_132689"
x^4 - x^3 + 2*x^2 + x + 1,4,225,4,225,"3,5",C2 x C2,o10_133192
x^6 - x^5 + 4*x^4 - 6*x^3 + 6*x^2 - 6*x + 4,6,-1120000,48,353404994460344188455585940560655522201600000000000000000000000000000000,"2,5,7",C2 x S4,"o10_134228,o10_134229"
x^6 + x^4 - 4*x^3 + x^2 - 2*x + 4,6,-292032,12,922417564483584,"2,3,13",D6,"o10_135518,o10_135519"
x^4 - x^3 + x^2 - 2*x + 4,4,2873,8,2385443281,"13,17",D4,"o10_136530,o10_136531,o10_136532,o10_136533,o10_136534,o10_136535,o10_136536"
x^8 - 3*x^7 + 3*x^6 + 3*x^5 - 7*x^4 + 3*x^3 + 3*x^2 - 3*x + 1,8,4626801,48,340768730249874802352471976839668787507843355888149624585688812455521,"3,239",C2 x S4,o10_138513
