state_id,epsilon,embedding,tr_a_re,tr_a_im,tr_b_re,tr_b_im,tr_mu,tr_lambda,tr_s
0,1,upper,-1.1027847152002952,-0.6654569511528134,-0.10278471520029515,-0.6654569511528134,2,-2,2
1,1,real,-1.1027847152002952,0.6654569511528134,-0.10278471520029515,0.6654569511528134,2,-2,2
2,1,lower,1.2055694304005904,-9.818186930595453e-91,2.2055694304005904,-9.818186930595453e-91,2,-2,2
3,-1,upper,1.1027847152002952,0.6654569511528134,-0.10278471520029515,-0.6654569511528134,-2,2,-2
4,-1,real,1.1027847152002952,-0.6654569511528134,-0.10278471520029515,0.6654569511528134,-2,2,-2
5,-1,lower,-1.2055694304005904,9.818186930595453e-91,2.2055694304005904,-9.818186930595453e-91,-2,2,-2
