filling,u,v,u_h_pmns_mod5,v_h_pmns_mod5,tr_uv_re,tr_uv_im,tr_comm_re,tr_comm_im,abs_tr2_difference,near_equal_tr2
m003(cusp),A,B,,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,8.8363682375359077955723895189752962e-90,-3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,False
m003(cusp),A,AB,,,-2.5000000000000000000000000000000000,0.86602540378443864676372317075293618,7.8545495444763624849532351279780410e-90,-3.4641016151377545870548926830117447,1.7320508075688772935274463415058724,False
m003(cusp),A,Ab,,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-5.8909121583572718637149263459835308e-90,-3.4641016151377545870548926830117447,4.5825756949558400065880471937280085,False
m003(cusp),A,AAB,,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-7.8545495444763624849532351279780410e-90,-3.4641016151377545870548926830117447,7.9372539331937717715048472609177813,False
m003(cusp),A,AAb,,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,3.9272747722381812424766175639890205e-89,-3.4641016151377545870548926830117447,6.9282032302755091741097853660234895,False
m003(cusp),A,ABB,,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,-1.0996369362266907478934529179169257e-88,1.7320508075688772935274463415058724,False
m003(cusp),A,Abb,,,4.0000000000000000000000000000000000,3.4641016151377545870548926830117447,-10.000000000000000000000000000000000,4.7127297266858174909719410767868246e-89,13.856406460551018348219570732046979,False
m003(cusp),A,AAAB,,,4.0000000000000000000000000000000000,-3.4641016151377545870548926830117447,0.00000000000000000000000000000000000,-3.4641016151377545870548926830117447,8.0000000000000000000000000000000000,False
m003(cusp),A,AAAb,,,-2.5000000000000000000000000000000000,-6.0621778264910705273460621952705533,1.2567279271162179975925176204764866e-88,-3.4641016151377545870548926830117447,21.794494717703367761184909919298078,False
m003(cusp),A,AABB,,,2.0000000000000000000000000000000000,0.00000000000000000000000000000000000,-10.000000000000000000000000000000000,0.00000000000000000000000000000000000,6.9282032302755091741097853660234895,False
m003(cusp),A,AAbb,,,3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-10.000000000000000000000000000000000,-4.7127297266858174909719410767868246e-89,27.221315177632398883866023128623889,False
m003(cusp),A,ABAb,,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,-18.000000000000000000000000000000000,-1.2567279271162179975925176204764866e-88,18.734993995195194617540679362819383,False
m003(cusp),A,ABBB,,,4.0000000000000000000000000000000000,3.4641016151377545870548926830117447,6.0000000000000000000000000000000000,27.712812921102036696439141464093958,0.00000000000000000000000000000000000,True
m003(cusp),A,ABaB,,,2.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-6.0000000000000000000000000000000000,-13.856406460551018348219570732046979,2.6457513110645905905016157536392604,False
m003(cusp),A,ABab,,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-18.000000000000000000000000000000000,-1.4138189180057452472915823230360474e-88,11.532562594670795889354183238817873,False
m003(cusp),A,Abbb,,,9.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,27.712812921102036696439141464093958,36.373066958946423164076373171623320,False
m003(cusp),B,AB,,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,2.1600011247309996833621396601939613e-89,-3.4641016151377545870548926830117447,2.6457513110645905905016157536392604,False
m003(cusp),B,Ab,,,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,5.8909121583572718637149263459835308e-90,-3.4641016151377545870548926830117447,3.6055512754639892931192212674704959,False
m003(cusp),B,AAB,,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,6.0000000000000000000000000000000000,-3.0436379484845904629193786120914909e-89,4.3588989435406735522369819838596157,False
m003(cusp),B,AAb,,,-2.5000000000000000000000000000000000,0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,3.1418198177905449939812940511912164e-89,8.0000000000000000000000000000000000,False
m003(cusp),B,ABB,,,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,2.1600011247309996833621396601939613e-89,-3.4641016151377545870548926830117447,2.6457513110645905905016157536392604,False
m003(cusp),B,Abb,,,-2.0000000000000000000000000000000000,6.8727308514168171743340807369807859e-90,1.5709099088952724969906470255956082e-89,-3.4641016151377545870548926830117447,10.583005244258362362006463014557042,False
m003(cusp),B,AAAB,,,2.0000000000000000000000000000000000,1.7181827128542042935835201842451965e-90,-10.000000000000000000000000000000000,8.6400044989239987334485586407758451e-89,12.000000000000000000000000000000000,False
m003(cusp),B,AAAb,,,2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,5.8909121583572718637149263459835308e-89,18.734993995195194617540679362819383,False
m003(cusp),B,AABB,,,4.0000000000000000000000000000000000,3.4641016151377545870548926830117447,6.0000000000000000000000000000000000,0.00000000000000000000000000000000000,8.0000000000000000000000000000000000,False
m003(cusp),B,AAbb,,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,6.0000000000000000000000000000000000,4.3200022494619993667242793203879226e-89,30.413812651491098444998421226010335,False
m003(cusp),B,ABAb,,,-2.5000000000000000000000000000000000,0.86602540378443864676372317075293618,-5.8909121583572718637149263459835308e-89,3.4641016151377545870548926830117447,20.074859899884731200539703719274050,False
m003(cusp),B,ABBB,,,-2.0000000000000000000000000000000000,-1.1781824316714543727429852691967062e-89,5.4981846811334537394672645895846287e-89,-3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,False
m003(cusp),B,ABaB,,,1.5000000000000000000000000000000000,0.86602540378443864676372317075293618,-2.0000000000000000000000000000000000,-1.0210914407819271230439205666371453e-88,5.1961524227066318805823390245176171,False
m003(cusp),B,ABab,,,1.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,-2.0000000000000000000000000000000000,-1.0603641885043089354686867422770355e-88,13.747727084867520019764141581184025,False
m003(cusp),B,Abbb,,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,8.2472770217001806092008968843769431e-89,-3.4641016151377545870548926830117447,38.974350539810153454836299092429847,False
m003(cusp),AB,Ab,,,-0.50000000000000000000000000000000000,4.3301270189221932338186158537646809,-10.000000000000000000000000000000000,0.00000000000000000000000000000000000,4.5825756949558400065880471937280085,False
m003(cusp),AB,AAB,,,-3.9272747722381812424766175639890205e-90,3.4641016151377545870548926830117447,-1.5709099088952724969906470255956082e-89,-3.4641016151377545870548926830117447,6.9282032302755091741097853660234895,False
m003(cusp),AB,AAb,,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,2.5134558542324359951850352409529731e-88,-17.320508075688772935274463415058724,6.2449979983983982058468931209397945,False
m003(cusp),AB,ABB,,,-2.0000000000000000000000000000000000,-3.9272747722381812424766175639890205e-90,4.7127297266858174909719410767868246e-89,-3.4641016151377545870548926830117447,0.00000000000000000000000000000000000,True
m003(cusp),AB,Abb,,,5.5000000000000000000000000000000000,6.0621778264910705273460621952705533,6.0000000000000000000000000000000000,27.712812921102036696439141464093958,12.124355652982141054692124390541107,False
m003(cusp),AB,AAAB,,,5.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,-3.1418198177905449939812940511912164e-89,9.5393920141694564915262158602322654,False
m003(cusp),AB,AAAb,,,-2.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,3.1418198177905449939812940511912164e-88,31.176914536239791283494034147105703,21.166010488516724724012926029114083,False
m003(cusp),AB,AABB,,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-12.000000000000000000000000000000000,-3.4641016151377545870548926830117447,6.2449979983983982058468931209397945,False
m003(cusp),AB,AAbb,,,4.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-48.000000000000000000000000000000000,3.4641016151377545870548926830117447,28.930952282978864987280093142297990,False
m003(cusp),AB,ABAb,,,5.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,0.00000000000000000000000000000000000,18.330302779823360026352188774912034,False
m003(cusp),AB,ABBB,,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,-2.8276378360114904945831646460720948e-88,1.7320508075688772935274463415058724,False
m003(cusp),AB,ABaB,,,3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,4.7127297266858174909719410767868246e-89,4.0000000000000000000000000000000000,False
m003(cusp),AB,ABab,,,-3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,-12.000000000000000000000000000000000,-3.4641016151377545870548926830117447,11.532562594670795889354183238817873,False
m003(cusp),AB,Abbb,,,14.000000000000000000000000000000000,-1.9636373861190906212383087819945103e-89,80.000000000000000000000000000000000,-31.176914536239791283494034147105703,36.660605559646720052704377549824068,False
m003(cusp),Ab,AAB,,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,-2.3563648633429087454859705383934123e-89,4.5825756949558400065880471937280085,False
m003(cusp),Ab,AAb,,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,1.5709099088952724969906470255956082e-89,-3.4641016151377545870548926830117447,10.816653826391967879357663802411488,False
m003(cusp),Ab,ABB,,,3.5000000000000000000000000000000000,4.3301270189221932338186158537646809,6.0000000000000000000000000000000000,27.712812921102036696439141464093958,4.5825756949558400065880471937280085,False
m003(cusp),Ab,Abb,,,3.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,0.00000000000000000000000000000000000,-3.4641016151377545870548926830117447,13.747727084867520019764141581184025,False
m003(cusp),Ab,AAAB,,,-2.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-24.000000000000000000000000000000000,10.392304845413263761164678049035234,11.532562594670795889354183238817873,False
m003(cusp),Ab,AAAb,,,-6.5000000000000000000000000000000000,0.86602540378443864676372317075293618,6.0000000000000000000000000000000000,4.7127297266858174909719410767868246e-89,17.349351572897472412324994276999817,False
m003(cusp),Ab,AABB,,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,1.5709099088952724969906470255956082e-88,-3.4641016151377545870548926830117447,10.816653826391967879357663802411488,False
m003(cusp),Ab,AAbb,,,-6.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,-6.0000000000000000000000000000000000,13.856406460551018348219570732046979,27.712812921102036696439141464093958,False
m003(cusp),Ab,ABAb,,,0.50000000000000000000000000000000000,-7.7942286340599478208735085367764256,-10.000000000000000000000000000000000,3.1418198177905449939812940511912164e-89,22.912878474779200032940235968640042,False
m003(cusp),Ab,ABBB,,,9.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,80.000000000000000000000000000000000,-31.176914536239791283494034147105703,4.5825756949558400065880471937280085,False
m003(cusp),Ab,ABaB,,,-3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-42.000000000000000000000000000000000,27.712812921102036696439141464093958,3.6055512754639892931192212674704959,False
m003(cusp),Ab,ABab,,,2.0000000000000000000000000000000000,6.9282032302755091741097853660234895,-6.0000000000000000000000000000000000,13.856406460551018348219570732046979,16.000000000000000000000000000000000,False
m003(cusp),Ab,Abbb,,,-0.50000000000000000000000000000000000,-9.5262794416288251144009548782822980,-10.000000000000000000000000000000000,-1.8850918906743269963887764307147298e-88,40.951190458886540164316876457348299,False
m003(cusp),AAB,AAb,,,-0.50000000000000000000000000000000000,-4.3301270189221932338186158537646809,8.0000000000000000000000000000000000,-10.392304845413263761164678049035234,12.124355652982141054692124390541107,False
m003(cusp),AAB,ABB,,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,6.0000000000000000000000000000000000,4.3200022494619993667242793203879226e-89,6.9282032302755091741097853660234895,False
m003(cusp),AAB,Abb,,,4.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,12.000000000000000000000000000000000,-17.320508075688772935274463415058724,10.535653752852738848401404661899667,False
m003(cusp),AAB,AAAB,,,-5.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-6.2836396355810899879625881023824328e-89,-3.4641016151377545870548926830117447,15.716233645501710980218386989128027,False
m003(cusp),AAB,AAAb,,,-8.0000000000000000000000000000000000,3.4641016151377545870548926830117447,12.000000000000000000000000000000000,17.320508075688772935274463415058724,14.422205101855957172476885069881984,False
m003(cusp),AAB,AABB,,,-2.5000000000000000000000000000000000,-6.0621778264910705273460621952705533,6.0000000000000000000000000000000000,0.00000000000000000000000000000000000,12.124355652982141054692124390541107,False
m003(cusp),AAB,AAbb,,,-8.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,-24.000000000000000000000000000000000,-10.392304845413263761164678049035234,32.078029864690880046116330356096059,False
m003(cusp),AAB,ABAb,,,2.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,24.000000000000000000000000000000000,-31.176914536239791283494034147105703,24.000000000000000000000000000000000,False
m003(cusp),AAB,ABBB,,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,12.000000000000000000000000000000000,-17.320508075688772935274463415058724,7.9372539331937717715048472609177813,False
m003(cusp),AAB,ABaB,,,-4.0000000000000000000000000000000000,-3.4641016151377545870548926830117447,-6.0000000000000000000000000000000000,6.9282032302755091741097853660234895,8.0000000000000000000000000000000000,False
m003(cusp),AAB,ABab,,,-0.50000000000000000000000000000000000,4.3301270189221932338186158537646809,12.000000000000000000000000000000000,-17.320508075688772935274463415058724,18.027756377319946465596106337352480,False
m003(cusp),AAB,Abbb,,,-4.5000000000000000000000000000000000,-14.722431864335456994983293902799915,-42.000000000000000000000000000000000,-27.712812921102036696439141464093958,43.266615305567871517430655209645951,False
m003(cusp),AAb,ABB,,,1.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,-36.000000000000000000000000000000000,-10.392304845413263761164678049035234,6.2449979983983982058468931209397945,False
m003(cusp),AAb,Abb,,,-6.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,7.8545495444763624849532351279780410e-89,-17.320508075688772935274463415058724,12.000000000000000000000000000000000,False
m003(cusp),AAb,AAAB,,,-8.0000000000000000000000000000000000,3.4641016151377545870548926830117447,-12.000000000000000000000000000000000,-3.4641016151377545870548926830117447,10.583005244258362362006463014557042,False
m003(cusp),AAb,AAAb,,,0.50000000000000000000000000000000000,12.990381056766579701455847561294043,3.5345472950143631182289558075901185e-89,-3.4641016151377545870548926830117447,26.514147167125704101832863574049845,False
m003(cusp),AAb,AABB,,,-2.0000000000000000000000000000000000,7.8545495444763624849532351279780410e-90,-24.000000000000000000000000000000000,-10.392304845413263761164678049035234,0.00000000000000000000000000000000000,True
m003(cusp),AAb,AAbb,,,-12.500000000000000000000000000000000,9.5262794416288251144009548782822980,6.0000000000000000000000000000000000,1.8850918906743269963887764307147298e-88,32.078029864690880046116330356096059,False
m003(cusp),AAb,ABAb,,,-12.500000000000000000000000000000000,-2.5980762113533159402911695122588085,-6.0000000000000000000000000000000000,-13.856406460551018348219570732046979,12.124355652982141054692124390541107,False
m003(cusp),AAb,ABBB,,,-6.0000000000000000000000000000000000,-6.9282032302755091741097853660234895,-2.8904742323673013944627905270959191e-87,93.530743608719373850482102441317108,6.9282032302755091741097853660234895,False
m003(cusp),AAb,ABaB,,,-6.5000000000000000000000000000000000,7.7942286340599478208735085367764256,-18.000000000000000000000000000000000,-55.425625842204073392878282928187916,9.5393920141694564915262158602322654,False
m003(cusp),AAb,ABab,,,9.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,-18.000000000000000000000000000000000,-27.712812921102036696439141464093958,6.0827625302982196889996842452020671,False
m003(cusp),AAb,Abbb,,,-16.500000000000000000000000000000000,-0.86602540378443864676372317075293618,-36.000000000000000000000000000000000,-10.392304845413263761164678049035234,31.224989991991991029234465604698972,False
m003(cusp),ABB,Abb,,,9.5000000000000000000000000000000000,0.86602540378443864676372317075293618,80.000000000000000000000000000000000,-31.176914536239791283494034147105703,12.124355652982141054692124390541107,False
m003(cusp),ABB,AAAB,,,3.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,-12.000000000000000000000000000000000,-3.4641016151377545870548926830117447,9.5393920141694564915262158602322654,False
m003(cusp),ABB,AAAb,,,-8.0000000000000000000000000000000000,-3.4641016151377545870548926830117447,96.000000000000000000000000000000000,17.320508075688772935274463415058724,21.166010488516724724012926029114083,False
m003(cusp),ABB,AABB,,,2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,-1.5709099088952724969906470255956082e-89,6.2449979983983982058468931209397945,False
m003(cusp),ABB,AAbb,,,-3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-16.000000000000000000000000000000000,114.31535329954590137281145853938758,28.930952282978864987280093142297990,False
m003(cusp),ABB,ABAb,,,6.0000000000000000000000000000000000,5.4981846811334537394672645895846287e-89,-6.0000000000000000000000000000000000,-20.784609690826527522329356098070468,18.330302779823360026352188774912034,False
m003(cusp),ABB,ABBB,,,-2.5000000000000000000000000000000000,0.86602540378443864676372317075293618,7.8545495444763624849532351279780410e-89,-3.4641016151377545870548926830117447,1.7320508075688772935274463415058724,False
m003(cusp),ABB,ABaB,,,2.0000000000000000000000000000000000,-7.8545495444763624849532351279780410e-90,-8.6400044989239987334485586407758451e-89,3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,False
m003(cusp),ABB,ABab,,,-3.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,-12.000000000000000000000000000000000,-3.4641016151377545870548926830117447,11.532562594670795889354183238817873,False
m003(cusp),ABB,Abbb,,,11.500000000000000000000000000000000,-11.258330249197702407928401219788170,-126.00000000000000000000000000000000,-221.70250336881629357151313171275166,36.660605559646720052704377549824068,False
m003(cusp),Abb,AAAB,,,-14.500000000000000000000000000000000,-6.0621778264910705273460621952705533,30.000000000000000000000000000000000,69.282032302755091741097853660234895,21.166010488516724724012926029114083,False
m003(cusp),Abb,AAAb,,,-6.5000000000000000000000000000000000,12.990381056766579701455847561294043,12.000000000000000000000000000000000,17.320508075688772935274463415058724,20.663978319771824615424488501734786,False
m003(cusp),Abb,AABB,,,-3.5000000000000000000000000000000000,-7.7942286340599478208735085367764256,-16.000000000000000000000000000000000,-31.176914536239791283494034147105703,12.000000000000000000000000000000000,False
m003(cusp),Abb,AAbb,,,-18.500000000000000000000000000000000,2.5980762113533159402911695122588085,-10.000000000000000000000000000000000,3.9272747722381812424766175639890205e-89,40.951190458886540164316876457348299,False
m003(cusp),Abb,ABAb,,,-10.500000000000000000000000000000000,-11.258330249197702407928401219788170,-6.0000000000000000000000000000000000,-20.784609690826527522329356098070468,19.974984355438178915780382328058287,False
m003(cusp),Abb,ABBB,,,9.5000000000000000000000000000000000,-12.990381056766579701455847561294043,-126.00000000000000000000000000000000,-221.70250336881629357151313171275166,13.856406460551018348219570732046979,False
m003(cusp),Abb,ABaB,,,-14.500000000000000000000000000000000,-4.3301270189221932338186158537646809,96.000000000000000000000000000000000,114.31535329954590137281145853938758,15.716233645501710980218386989128027,False
m003(cusp),Abb,ABab,,,11.500000000000000000000000000000000,6.0621778264910705273460621952705533,30.000000000000000000000000000000000,-27.712812921102036696439141464093958,17.349351572897472412324994276999817,False
