filling,word,length_letters,exp_a,exp_b,h_pmns_mod5,tr_re,tr_im,tr2_re,tr2_im,complex_length_re,twist_rad,twist_deg,abs_tr
m003(cusp),A,1,-1,0,,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,2.6806731878491247967891366373024864,482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),B,1,0,-1,,1.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,1.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,1.0870701449957390997852728012384674,-1.7227684498700903249041423711299303,-310.09832097661625848274562680338746/pi,1.7320508075688772935274463415058724
m003(cusp),AB,2,-1,-1,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,-2.6806731878491247967891366373024864,-482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),Ab,2,-1,1,,-2.0000000000000000000000000000000000,9.8181869305954531061915439099725513e-91,4.0000000000000000000000000000000000,-3.9272747722381812424766175639890205e-90,0.00000000000000000000000000000000000,1.0033115225336663936994793398898645e-19,(1.8059607405605995086590628118017561e-17)/pi,2.0000000000000000000000000000000000
m003(cusp),AAB,3,-2,-1,,-2.5000000000000000000000000000000000,0.86602540378443864676372317075293618,5.5000000000000000000000000000000000,-4.3301270189221932338186158537646809,1.7251092553241220643713855889500477,-0.92183893148133688334701349195403301,-165.93100766664063900246242855172594/pi,2.6457513110645905905016157536392604
m003(cusp),AAb,3,-2,1,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-6.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,2.1741402899914781995705456024769349,-2.8376484074394058271170020242991452,-510.77671333909304888106036437384614/pi,2.6457513110645905905016157536392604
m003(cusp),ABB,3,-1,-2,,0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,-2.6806731878491247967891366373024864,-482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),Abb,3,-1,2,,-2.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-0.49999999999999999999999999999999999,-12.990381056766579701455847561294043,2.5876638829861830965570783834250716,-1.7588342563677879134421231453484534,-316.59016614620182441958216616272161/pi,3.6055512754639892931192212674704959
m003(cusp),AAAB,4,-3,-1,,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,-4.5000000000000000000000000000000000,7.7942286340599478208735085367764256,2.3192389338022906006314565641749704,2.2564003312907097501193476442785618,406.15205963232775502148257597014113/pi,3.0000000000000000000000000000000000
m003(cusp),AAAb,4,-3,1,,4.5000000000000000000000000000000000,-0.86602540378443864676372317075293618,19.500000000000000000000000000000000,-7.7942286340599478208735085367764257,2.9508594314370451023384337610902388,-0.42104555144303681074695534376888068,-75.788199259746625934451961878398523/pi,4.5825756949558400065880471937280085
m003(cusp),AABB,4,-2,-2,,-0.50000000000000000000000000000000000,2.5980762113533159402911695122588085,-6.5000000000000000000000000000000000,-2.5980762113533159402911695122588085,2.1741402899914781995705456024769349,-2.8376484074394058271170020242991452,-510.77671333909304888106036437384614/pi,2.6457513110645905905016157536392604
m003(cusp),AAbb,4,-2,2,,4.0000000000000000000000000000000000,3.4641016151377545870548926830117447,4.0000000000000000000000000000000000,27.712812921102036696439141464093958,3.3257717821172421513049700781588121,1.4989377308349602997350132378099304,269.80879155029285395230238280578747/pi,5.2915026221291811810032315072785209
m003(cusp),ABAb,4,-2,0,,-0.50000000000000000000000000000000000,4.3301270189221932338186158537646809,-18.500000000000000000000000000000000,-4.3301270189221932338186158537646809,3.0401611341503847119585511171692954,-2.9324998133192291683132689848757673,-527.84996639746125029638841727763811/pi,4.3588989435406735522369819838596157
m003(cusp),ABBB,4,-1,-3,,-0.50000000000000000000000000000000000,-0.86602540378443864676372317075293618,-0.50000000000000000000000000000000000,0.86602540378443864676372317075293618,0.86255462766206103218569279447502386,2.6806731878491247967891366373024864,482.52117381284246342204459471444755/pi,1.0000000000000000000000000000000000
m003(cusp),ABaB,4,0,-2,,1.5000000000000000000000000000000000,0.86602540378443864676372317075293618,1.5000000000000000000000000000000000,2.5980762113533159402911695122588085,1.0870701449957390997852728012384674,1.7227684498700903249041423711299303,310.09832097661625848274562680338746/pi,1.7320508075688772935274463415058724
m003(cusp),ABab,4,0,0,,3.9272747722381812424766175639890205e-90,-3.4641016151377545870548926830117447,-12.000000000000000000000000000000000,-2.7208957763200081842453451750025475e-89,2.6339157938496334172500926946159369,3.1415926535897932384626433832795029,565.48667764616278292327580899031052/pi,3.4641016151377545870548926830117447
